database,isTemporary,tableName
donus_kitchen,false,wallet_receivableshistory
donus_kitchen,false,wallet_transaction
donus_kitchen,false,wallet_transaction_view
donus_kitchen,false,wallet_transaction_view_old
donus_kitchen,false,wallet_transaction_view_old2
donus_kitchen,false,wallet_transfer
donus_kitchen,false,wallet_transfertypes
donus_kitchen,false,zedelivery_darkstores_gmv
donus_kitchen,false,zedelivery_sellers_gmv
donus_kitchen,false,zendesk_groups
donus_kitchen,false,zendesk_ticket_fields
donus_kitchen,false,zendesk_ticket_forms
donus_kitchen,false,zendesk_ticket_metrics
donus_kitchen,false,zendesk_tickets
donus_kitchen,false,zendesk_updated_tickets
donus_kitchen,false,zendesk_users
donus_kitchen_acquisition,false,100_beats
donus_kitchen_acquisition,false,20_beats
donus_kitchen_acquisition,false,60_menos
donus_kitchen_acquisition,false,a200___push
donus_kitchen_acquisition,false,resultados_nunca_ativaram_geo
donus_kitchen_acquisition,false,resultados_nunca_ativaram_menor_60
donus_kitchen_acquisition,false,resultados_nunca_ativaram_teste_outubro
donus_kitchen_acquisition,false,resultados_outubro
donus_kitchen_acquisition,false,resultados_outubro_diarios
donus_kitchen_acquisition,false,resultados_setembro
donus_kitchen_acquisition,false,resultados_setembro_diarios
donus_kitchen_acquisition,false,resultados_teste_acessaram_outubro
donus_kitchen_acquisition,false,retorno_action_nao_ativou
donus_kitchen_acquisition,false,retorno_alma_viva_manual
donus_kitchen_acquisition,false,retorno_celula_fidelizacao
donus_kitchen_acquisition,false,risco_sacado_operacao
donus_kitchen_acquisition,false,saida_cashback
donus_kitchen_acquisition,false,scenario_b_cliente_bees_bank
donus_kitchen_acquisition,false,scenario_b_conta_ativada
donus_kitchen_acquisition,false,scenario_b_contact_rate
donus_kitchen_acquisition,false,scenario_b_docs
donus_kitchen_acquisition,false,scenario_b_pos_ativada
donus_kitchen_acquisition,false,scenario_b_tem_pos
donus_kitchen_acquisition,false,scenario_b_tpv_pos
donus_kitchen_acquisition,false,seg_ambev_leads
donus_kitchen_acquisition,false,seg_ambev_leads2
donus_kitchen_acquisition,false,setembro_credito
donus_kitchen_acquisition,false,setenta_reais_churn_e_inativo
donus_kitchen_acquisition,false,spaten_bees_bank
donus_kitchen_acquisition,false,spaten_geral
donus_kitchen_acquisition,false,stella_abertura
donus_kitchen_acquisition,false,stella_card
donus_kitchen_acquisition,false,stella_julho
donus_kitchen_acquisition,false,stella_junho
donus_kitchen_acquisition,false,stella_maio
donus_kitchen_acquisition,false,stella_pagamentos_depara
donus_kitchen_acquisition,false,stella_pos
donus_kitchen_acquisition,false,taxa_aluguel
donus_kitchen_acquisition,false,tb_base_completa_bblack
donus_kitchen_acquisition,false,teste_bees
donus_kitchen_acquisition,false,teste_campanha_ltv
donus_kitchen_acquisition,false,teste_campanha_ltv_wallet
donus_kitchen_acquisition,false,tpv_bblack
donus_kitchen_acquisition,false,tpv_bblack_2
donus_kitchen_acquisition,false,tpv_comp_cashback
donus_kitchen_acquisition,false,tpv_maquininha_amanda
donus_kitchen_acquisition,false,tpv_seg_pos
donus_kitchen_acquisition,false,validacao_ultima_transacao
donus_kitchen_acquisition,false,vendas_credenciadas_adiq
donus_kitchen_acquisition,false,vw_hb_leads_gap_ttv
donus_kitchen_acquisition,false,vw_hb_perdidos_aluguel
donus_kitchen_acquisition,false,vw_hb_perdidos_taxa
donus_kitchen_acquisition,false,vw_insider_cadastro
donus_kitchen_acquisition,false,vw_insider_campanhas_growth
donus_kitchen_acquisition,false,vw_insider_full_balance
donus_kitchen_data,false,planilha_pitstop
donus_kitchen_data,false,planilha_pos_ze
donus_kitchen_data,false,planning
donus_kitchen_data,false,planning_base_geral
donus_kitchen_data,false,pos_adiq
donus_kitchen_data,false,pos_amount_transaction_percent_rank
donus_kitchen_data,false,pos_app_reactivation
donus_kitchen_data,false,pos_app_registration
donus_kitchen_data,false,pos_churn_reactive_model
donus_kitchen_data,false,pos_cred_3months_avg_ambev_purchase
donus_kitchen_data,false,pos_cred_3months_avg_ambev_purchase_teste_apagar
donus_kitchen_data,false,pos_dates
donus_kitchen_data,false,pos_dates_vw
donus_kitchen_data,false,pos_delay
donus_kitchen_data,false,posoverview1
donus_kitchen_data,false,pre_aprovados_outubro
donus_kitchen_data,false,pre_creditado_dezembro
donus_kitchen_data,false,pre_screening
donus_kitchen_data,false,proximo_produto_on_case
donus_kitchen_data,false,qr_recorte
donus_kitchen_data,false,quadrante_cashback
donus_kitchen_data,false,quebra_wallet_users
donus_kitchen_data,false,ranking_cdd
donus_kitchen_data,false,ranking_cdd_pdv
donus_kitchen_data,false,ranking_cdd_pdv_donus
donus_kitchen_data,false,ranking_pdv
donus_kitchen_data,false,ranking_pdv_gmv_rate
donus_kitchen_data,false,recorte_churn_maior
donus_kitchen_data,false,recorte_churn_menor
donus_kitchen_data,false,regressao_ttv
donus_kitchen_data,false,rentabilidade_pix_ambev
donus_kitchen_data,false,resultados_funil_nunca_ativaram
donus_kitchen_data,false,resultados_por_dia_nunca_ativaram
donus_kitchen_data,false,retorno_on_case
donus_kitchen_data,false,revendas_fechamento_anual
donus_kitchen_data,false,revendas_fechamento_mensal
donus_kitchen_data,false,rolling_cards
donus_kitchen_data,false,rolling_cards_pos
donus_kitchen_data,false,rolling_credit
donus_kitchen_data,false,rolling_perfects
donus_kitchen_data,false,rolling_pos
donus_kitchen_data,false,rolling_total_accounts
donus_kitchen_data,false,rolling_transactions
donus_kitchen_data,false,rota_fortaleza
donus_kitchen_data,false,rota_londrina
donus_kitchen_data,false,rota_suzano
donus_kitchen_data,false,rotamenu_manual
donus_kitchen_data,false,sales_lab_zendesk_tickets
donus_kitchen_data,false,sales_optimization_1
donus_kitchen_data,false,sales_optimization_3
donus_kitchen_data,false,sales_optimization_3_backlog
sihay_kitchen,false,brewdat_maz_vertica_v_st_kna1
sihay_kitchen,false,brewdat_maz_vertica_vw_marca_cupo_puntaje
sihay_kitchen,false,costs_maz
sihay_kitchen,false,crawler_billpocket
sihay_kitchen,false,crawler_fees
sihay_kitchen,false,crawler_netpay
sihay_kitchen,false,crawler_pos
sihay_kitchen,false,crawler_qiubo
sihay_kitchen,false,crawler_sihay_mercadopago
sihay_kitchen,false,crawler_srpago
sihay_kitchen,false,crawler_yaganaste
sihay_kitchen,false,crawler_zettle
sihay_kitchen,false,customergauge_bounce
sihay_kitchen,false,customergauge_non_response
sihay_kitchen,false,customergauge_responses
sihay_kitchen,false,customergauge_unsubscribe
sihay_kitchen,false,ewallet_transactions
