isTemporary,namespace,viewName
false,donus_kitchen_digital,vw_pagamentos_ambev_mensal
false,donus_kitchen_digital,vw_pagamentos_ambev_okr
false,donus_kitchen_digital,vw_pagamentos_boleto_ambev_mensal
false,donus_kitchen_digital,vw_pagamentos_boleto_ambev_semanal
false,donus_kitchen_digital,vw_pagamentos_boleto_mensal
false,donus_kitchen_digital,vw_pagamentos_conta_digital_mensal
false,donus_kitchen_digital,vw_pagamentos_contas_novas
false,donus_kitchen_digital,vw_pagamentos_dd_mensal
false,donus_kitchen_digital,vw_pagamentos_paymentbill_pd
false,donus_kitchen_digital,vw_pagamentos_pd_semanal
false,donus_kitchen_digital,vw_pagamentos_pix_mensal
false,donus_kitchen_digital,vw_pagamentos_pix_qr_code_mensal
false,donus_kitchen_digital,vw_pagamentos_pix_qrcode_mensal
false,donus_kitchen_digital,vw_pagamentos_pos_mensal
false,donus_kitchen_digital,vw_pagamentos_ted_in_mensal
false,donus_kitchen_digital,vw_pague_direto
false,donus_kitchen_digital,vw_pague_direto_tpv
false,donus_kitchen_digital,vw_pague_direto_tpv_30d
false,donus_kitchen_digital,vw_payment_bill
false,donus_kitchen_digital,vw_percentual_cashback
false,donus_kitchen_digital,vw_percentual_cashback_bill_ambev
false,donus_kitchen_digital,vw_pgto_ambev_semanal
false,donus_kitchen_digital,vw_pgto_pix_ambev_semanal
false,donus_kitchen_digital,vw_pgto_pix_qr_code_diario
false,donus_kitchen_digital,vw_pgto_pix_qr_code_semanal
false,donus_kitchen_digital,vw_pix_ambev
false,donus_kitchen_digital,vw_pix_in
false,donus_kitchen_digital,vw_pix_in_payments
false,donus_kitchen_digital,vw_pix_out
false,donus_kitchen_finance,vw_base_fluxo_de_caixa_btg
false,donus_kitchen_finance,vw_base_fluxo_de_caixa_itau
false,donus_kitchen_finance,vw_base_fluxo_de_caixa_operacional
false,donus_kitchen_finance,vw_base_fluxo_de_caixa_topazio
false,donus_kitchen_finance,vw_base_global
false,donus_kitchen_finance,vw_base_global_1
false,donus_kitchen_finance,vw_base_global_2
false,donus_kitchen_finance,vw_base_global_3
false,donus_kitchen_finance,vw_base_painel_global_1
false,donus_kitchen_finance,vw_base_painel_global_2
false,donus_kitchen_finance,vw_bmp_balance
false,donus_kitchen_finance,vw_boleto_ambev
false,donus_kitchen_finance,vw_boleto_ambev_2
false,donus_kitchen_finance,vw_boleto_desconciliada_topazio
false,donus_kitchen_finance,vw_boleto_desconciliada_wallet
false,donus_kitchen_finance,vw_boleto_mensal
